problem_id,submission_id,code,halstead_effort,modularity_score,quality_score,functionality_score,verdict
4A,269308927,"w = int(input())
if w%2 == 0 and w != 2:
    print(""YES"")
else:
    print(""NO"")",106.3016990363956,73.14196218558828,3,1,1
4A,268967990,"def main():
    watermelon = int(input())
    if watermelon % 2 == 0 and watermelon > 2:
        print(""YES"")
    else:
        print(""NO"")

if __name__ == ""__main__"":
    main()",134.43609377704337,67.64450076405312,3,1,1
4A,4278977,"n = int(input())
answer = 'YES' if n > 2 and (n-2)%2 == 0 else 'NO'
print(answer)",192.0515625386334,77.07107029550923,3,1,1
4A,204115614,print('YNEOS'[5%~int(input())%2::2]),22.458839376460833,83.83640786910061,2,1,1
4A,269005075,"w = int(input())
if w % 2 == 0:
    print(""YES"")
else:
    print(""NO"")",15.509775004326936,76.14705226402761,3,1,1
4A,269170574,"def main():
    n=int(input())
    if n%2==0:
        return 'YES'
    return 'NO'",15.509775004326936,76.14705226402761,3,1,0
4A,269308016,"w = float(input())
if w%2 ==0 : 
  print(""yes"")
else:
  print(""no"")",15.509775004326936,76.14705226402761,3,1,0
4A,245969688,"def prof(nums: list):
    return all([i % 2 == 0 for i in nums])


res = []
w = int(input())
sp = [2 for i in range(w//2)] if w % 2 == 0 else [3] + [2 for i in range(w//2-1)]
while len(sp) != 1:
    min_index = sp.index(min(sp[:-1]))
    sp[min_index] += 1
    sp = sp[:-1] if sp[-1] == 1 else sp[:-1] + [sp[-1] - 1]
    res.append(prof(sp))

print(any(res))",1371.6145240520734,58.254690267433034,2,0,0
4A,225507580,"n=int(input())
x=n%2
y=n//2
if x==0 and y%2==0:
    print(""Yes"")
else:
    print(""No"")",193.58797503894246,68.48960980802312,3,1,0
32A,73921389,"i=lambda:map(int,input().split())
n,d=i();a=[*i()]
print(sum(abs(x-y)<=d for x in a for y in a)-n)",27.0,74.32675679259947,3,1,0
32A,137849766,"a,b = map(int,input().split())
num = list(map(int,input().split()))
num = sorted(num)
ans = 0
if a == 0:
    print(0)
else:
    for i in range(len(num)):
        for k in range(i+1,len(num)):
            if num[k] - num[i] <= b:
                ans += 2
            elif num[k] - num[i] > b:
                break
print(ans)",235.76114431231534,60.591043697121435,2,1,1
32A,130417385,"n,d=map(int,input().split())
l=list(map(int,input().split()))
cnt = 0
for i in range(len(l)):
    for j in range(len(l)):
        if i != j:
            x=l[i]
            y=l[j]
            if abs(x-y) <= d:
                cnt+=1
print(cnt)

 	 	  			 			 				 		      		 	",86.03910001730776,65.17163294107861,2,0,1
